Id;Pièce A;Pièce B;Type;Longueur (mm);Note
W001;01-TRA-G;01-LON-AV;angle a3 périphérique;200;
W002;01-TRA-G;01-LON-AR;angle a3 périphérique;200;
W003;01-TRA-D;01-LON-AV;angle a3 périphérique;200;
W004;01-TRA-D;01-LON-AR;angle a3 périphérique;200;
W005;01-TRA-I1;01-LON-AV;angle a3 périphérique;200;
W006;01-TRA-I1;01-LON-AR;angle a3 périphérique;200;
W007;01-TRA-I2;01-LON-AV;angle a3 périphérique;200;
W008;01-TRA-I2;01-LON-AR;angle a3 périphérique;200;
W009;01-TRA-I3;01-LON-AV;angle a3 périphérique;200;
W010;01-TRA-I3;01-LON-AR;angle a3 périphérique;200;
W011;01-LON-AV;16/17 fourreau 1;angle a4 périphérique ×2 faces;400;
W012;01-LON-AR;16/17 fourreau 1;angle a4 périphérique ×2 faces;400;
W013;01-LON-AV;16/17 fourreau 2;angle a4 périphérique ×2 faces;400;
W014;01-LON-AR;16/17 fourreau 2;angle a4 périphérique ×2 faces;400;
W015;01-LAT-G;01-TRA-G + 01-TRA-I;angle a4 périphérique ×2 extrémités;400;
W016;01-LAT-D;01-TRA-D + 01-TRA-I;angle a4 périphérique ×2 extrémités;400;
W017;01-GOU-AVG;longeron + traverse;angle a3;200;
W018;01-GOU-AVD;longeron + traverse;angle a3;200;
W019;01-GOU-ARG;longeron + traverse;angle a3;200;
W020;01-GOU-ARD;longeron + traverse;angle a3;200;
W021;01-MON-AVG;châssis (nœud d'angle);angle a4 périphérique;200;
W022;01-MON-AVG;cadre haut;angle a4 périphérique;200;
W023;01-MON-AVD;châssis (nœud d'angle);angle a4 périphérique;200;
W024;01-MON-AVD;cadre haut;angle a4 périphérique;200;
W025;01-MON-ARG;châssis (nœud d'angle);angle a4 périphérique;200;
W026;01-MON-ARG;cadre haut;angle a4 périphérique;200;
W027;01-MON-ARD;châssis (nœud d'angle);angle a4 périphérique;200;
W028;01-MON-ARD;cadre haut;angle a4 périphérique;200;
W029;01-CH-G;01-CH-AV;angle a3 périphérique;200;
W030;01-CH-G;01-CH-AR;angle a3 périphérique;200;
W031;01-CH-D;01-CH-AV;angle a3 périphérique;200;
W032;01-CH-D;01-CH-AR;angle a3 périphérique;200;
W033;02-LIS-G;montants d'angle;angle a3 ×2 extrémités;320;
W034;02-LIS-D;montants d'angle;angle a3 ×2 extrémités;320;
W035;02-MON-AR;plancher + 01-CH-AR;angle a3 ×2 extrémités;320;
W036;02-LIS-AR-1;montant;angle a3 ×2 extrémités;320;
W037;02-LIS-AR-2;montant;angle a3 ×2 extrémités;320;
W038;02-TT-1;01-CH-AV / 01-CH-AR;angle a3 ×2 extrémités;320;
W039;02-TT-2;01-CH-AV / 01-CH-AR;angle a3 ×2 extrémités;320;
W040;02-GOU-ATT-G1;01-TRA-G + 01-LAT-G;angle a3;200;
W041;02-GOU-ATT-G2;01-TRA-G + 01-LAT-G;angle a3;200;
W042;02-GOU-ATT-D1;01-TRA-D + 01-LAT-D;angle a3;200;
W043;02-GOU-ATT-D2;01-TRA-D + 01-LAT-D;angle a3;200;
W044;03-PLA;châssis + fourreaux;angle a3 discontinue 50/150;9872;longueur effective ≈ 25 %
W045;04-TOI;cadre haut + traverses de toit;bouchons Ø8 pas 150 + cordon périphérique;6600;
W046;05-PAN-G;montants + lisse + châssis;bouchons Ø8 pas 150 + cordon périphérique;5200;
W047;05-PAN-D;montants + lisse + châssis;bouchons Ø8 pas 150 + cordon périphérique;5200;
W048;06-PAN-AR;montants + lisses + châssis;bouchons Ø8 pas 150 + cordon périphérique;7392;
W049;07-VG;cadre + parement;"angle a3 cadre ; bouchons Ø8 pas 150 parement";11512;
W050;08-CHG1-F;01-MON-AV;angle a4 3 côtés;165;
W051;08-CHG1-M;07-VG;angle a4 3 côtés;295;
W052;08-CHG2-F;01-MON-AV;angle a4 3 côtés;165;
W053;08-CHG2-M;07-VG;angle a4 3 côtés;295;
W054;08-CHG3-F;01-MON-AV;angle a4 3 côtés;165;
W055;08-CHG3-M;07-VG;angle a4 3 côtés;295;
W056;08-BUTG;01-MON-AV;angle a4 périphérique;132;
W057;07-VD;cadre + parement;"angle a3 cadre ; bouchons Ø8 pas 150 parement";11512;
W058;08-CHD1-F;01-MON-AV;angle a4 3 côtés;165;
W059;08-CHD1-M;07-VD;angle a4 3 côtés;295;
W060;08-CHD2-F;01-MON-AV;angle a4 3 côtés;165;
W061;08-CHD2-M;07-VD;angle a4 3 côtés;295;
W062;08-CHD3-F;01-MON-AV;angle a4 3 côtés;165;
W063;08-CHD3-M;07-VD;angle a4 3 côtés;295;
W064;08-BUTD;01-MON-AV;angle a4 périphérique;132;
W065;09-GAH-G;01-CH-AV;angle a4 3 côtés;72;
W066;09-GAB-G;03-PLA;angle a4 3 côtés;72;
W067;09-GAH-D;01-CH-AV;angle a4 3 côtés;72;
W068;09-GAB-D;03-PLA;angle a4 3 côtés;72;
W069;09-CJ;07-VD;bouchons Ø8 pas 150;1423;
W070;10-RG;plancher, lisse latérale, cadre haut;angle a3;720;
W071;10-RG;niveaux;angle a2,5;1440;
W072;11-RD;plancher, lisse latérale, cadre haut;angle a3;720;
W073;11-RD;niveaux;angle a2,5;1440;
W074;13-PLA-AVG;longeron + traverses;angle a4 3 côtés;960;
W075;13-CAL-AVG;13-PLA-AVG;angle a4 périphérique;690;
W076;13-PLA-AVD;longeron + traverses;angle a4 3 côtés;960;
W077;13-CAL-AVD;13-PLA-AVD;angle a4 périphérique;690;
W078;13-PLA-ARG;longeron + traverses;angle a4 3 côtés;960;
W079;13-CAL-ARG;13-PLA-ARG;angle a4 périphérique;690;
W080;13-PLA-ARD;longeron + traverses;angle a4 3 côtés;960;
W081;13-CAL-ARD;13-PLA-ARD;angle a4 périphérique;690;
W082;14-SUP1;02-LIS;angle a4 périphérique;140;
W083;14-SUP1;14-BAR;angle a4 périphérique (gueule de loup);140;
W084;14-SUP2;02-LIS;angle a4 périphérique;140;
W085;14-SUP2;14-BAR;angle a4 périphérique (gueule de loup);140;
W086;15-SUP1;02-LIS;angle a4 périphérique;140;
W087;15-SUP1;15-BAR;angle a4 périphérique (gueule de loup);140;
W088;15-SUP2;02-LIS;angle a4 périphérique;140;
W089;15-SUP2;15-BAR;angle a4 périphérique (gueule de loup);140;
W090;16-FOU;03-PLA;angle a4 discontinue 50/100 ×2;2200;longueur effective ≈ 33 %
W091;16-GOU-AVG;fourreau + longeron;angle a3;200;
W092;16-GOU-AVD;fourreau + longeron;angle a3;200;
W093;16-GOU-ARG;fourreau + longeron;angle a3;200;
W094;16-GOU-ARD;fourreau + longeron;angle a3;200;
W095;17-FOU;03-PLA;angle a4 discontinue 50/100 ×2;2200;longueur effective ≈ 33 %
W096;17-GOU-AVG;fourreau + longeron;angle a3;200;
W097;17-GOU-AVD;fourreau + longeron;angle a3;200;
W098;17-GOU-ARG;fourreau + longeron;angle a3;200;
W099;17-GOU-ARD;fourreau + longeron;angle a3;200;
W100;18-PLT;01-CH + 01-MON-AVG;angle a5 périphérique;320;
W101;18-ORE;18-PLT;angle a6 double (pleine pénétration à étudier);190;
W102;19-PLT;01-CH + 01-MON-AVD;angle a5 périphérique;320;
W103;19-ORE;19-PLT;angle a6 double (pleine pénétration à étudier);190;
W104;20-PLT;01-CH + 01-MON-ARG;angle a5 périphérique;320;
W105;20-ORE;20-PLT;angle a6 double (pleine pénétration à étudier);190;
W106;21-PLT;01-CH + 01-MON-ARD;angle a5 périphérique;320;
W107;21-ORE;21-PLT;angle a6 double (pleine pénétration à étudier);190;
W108;22-PLT-G;01-TRA-G + 01-LAT-G;angle a6 périphérique;398;
W109;22-CRO-G;22-PLT-G;angle a8 double + chanfrein (pleine pénétration à étudier);176;
W110;22-PLT-D;01-TRA-D + 01-LAT-D;angle a6 périphérique;398;
W111;22-CRO-D;22-PLT-D;angle a8 double + chanfrein (pleine pénétration à étudier);176;
